moviename,charactername,time
 Avengers: Age Of Ultron,Maria Hill,3
 Avengers: Age Of Ultron,May Parker,0
 Avengers: Age Of Ultron,Maya Hansen,0
 Avengers: Age Of Ultron,Natasha Romanoff,18
 Avengers: Age Of Ultron,Nebula,0
 Avengers: Age Of Ultron,Ned Leeds,0
 Avengers: Age Of Ultron,Nick Fury,3
 Avengers: Age Of Ultron,Obadiah Stane,0
 Avengers: Age Of Ultron,Odin,0
 Avengers: Age Of Ultron,Paxton,0
 Avengers: Age Of Ultron,Peggy Carter,0.25
 Avengers: Age Of Ultron,Pepper Potts,0
 Avengers: Age Of Ultron,Peter Parker,0
 Avengers: Age Of Ultron,Peter Quill,0
 Avengers: Age Of Ultron,Pietro Maximoff,10
 Avengers: Age Of Ultron,Raza,0
 Avengers: Age Of Ultron,Rocket Raccoon,0
 Avengers: Age Of Ultron,Ronan the Accuser,0
 Avengers: Age Of Ultron,Sam Wilson,0.75
 Avengers: Age Of Ultron,Samuel Sterns,0
 Avengers: Age Of Ultron,Savin,0
 Avengers: Age Of Ultron,Scott Lang,0
 Avengers: Age Of Ultron,Sharon Carter,0
 Avengers: Age Of Ultron,Sif,0
 Avengers: Age Of Ultron,Skurge,0
 Avengers: Age Of Ultron,Steve Rogers,21.75
 Avengers: Age Of Ultron,T'Challa,0
 Avengers: Age Of Ultron,Taserface,0
 Avengers: Age Of Ultron,The Collector,0
 Avengers: Age Of Ultron,Thor,13.25
 Avengers: Age Of Ultron,Tinkerer,0
 Avengers: Age Of Ultron,Tony Stark,27.25
 Avengers: Age Of Ultron,Trevor Slattery,0
 Avengers: Age Of Ultron,Ultron,16.75
 Avengers: Age Of Ultron,Valkyrie,0
 Avengers: Age Of Ultron,Vision,6.25
 Avengers: Age Of Ultron,Volstagg,0
 Avengers: Age Of Ultron,Wanda Maximoff,12
 Avengers: Age Of Ultron,Wong,0
 Avengers: Age Of Ultron,Yondu Udonta,0
 Avengers: Age Of Ultron,Zemo,0
 Captain America: Civil War,Adrian Toomes,0
 Captain America: Civil War,Agent Phil Coulson,0
 Captain America: Civil War,Aldrich Killian,0
 Captain America: Civil War,Alexander Pierce,0
 Captain America: Civil War,Algrim,0
 Captain America: Civil War,Ancient One,0
 Captain America: Civil War,Arnim Zola,0
 Captain America: Civil War,Ayesha,0
 Captain America: Civil War,Baron Mordo,0
 Captain America: Civil War,Betty Ross,0
 Captain America: Civil War,Bruce Banner,0
 Captain America: Civil War,Bucky Barnes,22
 Captain America: Civil War,Cassandra Lang,0
 Captain America: Civil War,Chester Phillips,0
 Captain America: Civil War,Christine Everhart,0
 Captain America: Civil War,Christine Palmer,0
 Captain America: Civil War,Clint Barton,4.25
 Captain America: Civil War,Col. James Rhodes,7.25
 Captain America: Civil War,Crossbones,2.25
 Captain America: Civil War,Darcy Lewis,0
 Captain America: Civil War,Darren Cross,0
 Captain America: Civil War,Dr. Abraham Erskine,0
 Captain America: Civil War,Dr. Helen Cho,0
 Captain America: Civil War,Dr. Stephen Strange,0
 Captain America: Civil War,Drax the Destroyer,0
 Captain America: Civil War,Ego the Living Planet,0
 Captain America: Civil War,Emil Blonsky,0
 Captain America: Civil War,Erik Selvig,0
 Captain America: Civil War,Fandral,0
 Captain America: Civil War,Frigga,0
 Captain America: Civil War,Gamora,0
 Captain America: Civil War,Gen. Thaddeus Ross,2.75
 Captain America: Civil War,Grandmaster,0
 Captain America: Civil War,Groot,0
 Captain America: Civil War,Hank Pym,0
 Captain America: Civil War,Happy Hogan,0
 Captain America: Civil War,Harley Keener,0
 Captain America: Civil War,Heimdall,0
 Captain America: Civil War,Hela,0
 Captain America: Civil War,Ho Yinsen,0
 Captain America: Civil War,Hogun,0
 Captain America: Civil War,Hope van Dyne,0
 Captain America: Civil War,Howard Stark,1.75
 Captain America: Civil War,Ivan Vanko,0
 Captain America: Civil War,Jane Foster,0
 Captain America: Civil War,Jasper Sitwell,0
 Captain America: Civil War,Johann Schmidt,0
 Captain America: Civil War,Justin Hammer,0
 Captain America: Civil War,Kaecilius,0
 Captain America: Civil War,King Laufey,0
 Captain America: Civil War,Korg,0
 Captain America: Civil War,Kraglin,0
 Captain America: Civil War,Laura Barton,0
 Captain America: Civil War,Liz Allan,0
 Captain America: Civil War,Loki,0
 Captain America: Civil War,Luis,0
 Captain America: Civil War,Malekith the Accursed,0
 Captain America: Civil War,Mantis,0
 Captain America: Civil War,Maria Hill,0
 Captain America: Civil War,May Parker,1
 Captain America: Civil War,Maya Hansen,0
 Captain America: Civil War,Natasha Romanoff,12
 Captain America: Civil War,Nebula,0
 Captain America: Civil War,Ned Leeds,0
 Captain America: Civil War,Nick Fury,0
 Captain America: Civil War,Obadiah Stane,0
 Captain America: Civil War,Odin,0
 Captain America: Civil War,Paxton,0
 Captain America: Civil War,Peggy Carter,0
 Captain America: Civil War,Pepper Potts,0
 Captain America: Civil War,Peter Parker,8.5
 Captain America: Civil War,Peter Quill,0
 Captain America: Civil War,Pietro Maximoff,0
 Captain America: Civil War,Raza,0
 Captain America: Civil War,Rocket Raccoon,0
 Captain America: Civil War,Ronan the Accuser,0
 Captain America: Civil War,Sam Wilson,10.25
 Captain America: Civil War,Samuel Sterns,0
 Captain America: Civil War,Savin,0
 Captain America: Civil War,Scott Lang,5.5
 Captain America: Civil War,Sharon Carter,5
 Captain America: Civil War,Sif,0
 Captain America: Civil War,Skurge,0
 Captain America: Civil War,Steve Rogers,38.25
 Captain America: Civil War,T'Challa,11.5
 Captain America: Civil War,Taserface,0
 Captain America: Civil War,The Collector,0
 Captain America: Civil War,Thor,0
 Captain America: Civil War,Tinkerer,0
 Captain America: Civil War,Tony Stark,37.25
 Captain America: Civil War,Trevor Slattery,0
 Captain America: Civil War,Ultron,0
 Captain America: Civil War,Valkyrie,0
 Captain America: Civil War,Vision,7.25
 Captain America: Civil War,Volstagg,0
 Captain America: Civil War,Wanda Maximoff,10.75
 Captain America: Civil War,Wong,0
 Captain America: Civil War,Yondu Udonta,0
 Captain America: Civil War,Zemo,10.5
 Captain America: The First Avenger,Adrian Toomes,0
 Captain America: The First Avenger,Agent Phil Coulson,0
 Captain America: The First Avenger,Aldrich Killian,0
 Captain America: The First Avenger,Alexander Pierce,0
 Captain America: The First Avenger,Algrim,0
 Captain America: The First Avenger,Ancient One,0
 Captain America: The First Avenger,Arnim Zola,8.25
 Captain America: The First Avenger,Ayesha,0
 Captain America: The First Avenger,Baron Mordo,0
 Captain America: The First Avenger,Betty Ross,0
 Captain America: The First Avenger,Bruce Banner,0
 Captain America: The First Avenger,Bucky Barnes,8
 Captain America: The First Avenger,Cassandra Lang,0
 Captain America: The First Avenger,Chester Phillips,9.25
 Captain America: The First Avenger,Christine Everhart,0
 Captain America: The First Avenger,Christine Palmer,0
