moviename,charactername,time
GUARDIANS OF THE GALAXY VOL. 2,Groot,14
The Incredible Hulk,Betty Ross,27
THOR,Erik Selvig,13.75
The Avengers,Erik Selvig,3
THOR: THE DARK WORLD,Erik Selvig,6.5
Avengers: Age Of Ultron,Erik Selvig,0.75
Captain America: The Winter Soldier,Wanda Maximoff,0.25
Avengers: Age Of Ultron,Wanda Maximoff,12
Captain America: Civil War,Wanda Maximoff,10.75
Iron Man,Obadiah Stane,22
Captain America: The First Avenger,Peggy Carter,17.25
Captain America: The Winter Soldier,Peggy Carter,2.25
Avengers: Age Of Ultron,Peggy Carter,0.25
ANT-MAN,Peggy Carter,0.75
Iron Man,Agent Phil Coulson,3.75
Iron Man 2,Agent Phil Coulson,2
THOR,Agent Phil Coulson,4
The Avengers,Agent Phil Coulson,9
Iron Man,Happy Hogan,1.25
Iron Man 2,Happy Hogan,4.25
Iron Man 3,Happy Hogan,6.25
Spider-Man: Homecoming,Happy Hogan,6
The Incredible Hulk,Gen. Thaddeus 'Thunderbolt' Ross,15
Captain America: Civil War,Gen. Thaddeus 'Thunderbolt' Ross,2.75
DOCTOR STRANGE,Ancient One,17.25
Avengers: Age Of Ultron,Ultron,16.75
ANT-MAN,Hope van Dyne,15.75
Captain America: The First Avenger,Johann Schmidt,15.5
ANT-MAN,Darren Cross,14.5
Avengers: Age Of Ultron,Vision,6.25
Captain America: Civil War,Vision,7.25
DOCTOR STRANGE,Christine Palmer,12.75
Captain America: The Winter Soldier,Alexander Pierce,12.75
Iron Man 3,Aldrich Killian,12
Captain America: Civil War,T'Challa,11.5
Iron Man,Ho Yinsen,10.75
Iron Man 3,Ho Yinsen,0.25
Captain America: The First Avenger,Arnim Zola,8.25
Captain America: The Winter Soldier,Arnim Zola,2.25
Captain America: The Winter Soldier,Pietro Maximoff,0.25
Avengers: Age Of Ultron,Pietro Maximoff,10
Spider-Man: Homecoming,Liz Allan,9.75
Captain America: The First Avenger,Chester Phillips,9.25
Iron Man 3,Maya Hansen,8.75
Captain America: The Winter Soldier,Crossbones,6.25
Captain America: Civil War,Crossbones,2.25
THOR,Hogun,6.5
THOR: THE DARK WORLD,Hogun,1
THOR: RAGNAROK,Hogun,0.75
Captain America: The Winter Soldier,Sharon Carter,2.5
Captain America: Civil War,Sharon Carter,5
The Incredible Hulk,Samuel Sterns,7.5
ANT-MAN,Luis,7
GUARDIANS OF THE GALAXY,Kraglin,1.75
GUARDIANS OF THE GALAXY VOL. 2,Kraglin,4.75
THOR: THE DARK WORLD,Algrim,6.25
THOR: RAGNAROK,Grandmaster,6
Iron Man 3,Savin,6
Iron Man,Christine Everhart,3.75
Iron Man 2,Christine Everhart,1.5
ANT-MAN,Cassandra Lang,4.5
Spider-Man: Homecoming,This character is no longer available,4.5
THOR: THE DARK WORLD,The Collector,1.25
GUARDIANS OF THE GALAXY,The Collector,2.5
THOR: RAGNAROK,Korg,3.75
THOR,King Laufey,3.5
Avengers: Age Of Ultron,Dr. Helen Cho,3.25
