moviename,charactername,time,totaltime
Captain America: The First Avenger,Grandmaster,0,6
Captain America: The First Avenger,Groot,0,29.5
Captain America: The First Avenger,Hank Pym,0,24.75
Captain America: The First Avenger,Happy Hogan,0,17.75
Captain America: The First Avenger,Harley Keener,0,6.25
Captain America: The First Avenger,Heimdall,0,13.5
Captain America: The First Avenger,Hela,0,12.25
Captain America: The First Avenger,Ho Yinsen,0,11
Captain America: The First Avenger,Hogun,0,8.25
Captain America: The First Avenger,Hope van Dyne,0,15.75
Captain America: The First Avenger,Howard Stark,4,8.75
Captain America: The First Avenger,Ivan Vanko,0,20.75
Captain America: The First Avenger,Jane Foster,0,46
Captain America: The First Avenger,Jasper Sitwell,0,5.5
Captain America: The First Avenger,Johann Schmidt,15.5,15.5
Captain America: The First Avenger,Justin Hammer,0,16.5
Captain America: The First Avenger,Kaecilius,0,12.75
Captain America: The First Avenger,King Laufey,0,3.5
Captain America: The First Avenger,Korg,0,3.75
Captain America: The First Avenger,Kraglin,0,6.5
Captain America: The First Avenger,Laura Barton,0,3.75
Captain America: The First Avenger,Liz Allan,0,9.75
Captain America: The First Avenger,Loki,0,75.25
Captain America: The First Avenger,Luis,0,7
Captain America: The First Avenger,Malekith the Accursed,0,8.75
Captain America: The First Avenger,Mantis,0,11
Captain America: The First Avenger,Maria Hill,0,11.75
Captain America: The First Avenger,May Parker,0,5
Captain America: The First Avenger,Maya Hansen,0,8.75
Captain America: The First Avenger,Natasha Romanoff,0,89
Captain America: The First Avenger,Nebula,0,15
Captain America: The First Avenger,Ned Leeds,0,13.75
Captain America: The First Avenger,Nick Fury,0.5,43.75
Captain America: The First Avenger,Obadiah Stane,0,22
Captain America: The First Avenger,Odin,0,23.75
Captain America: The First Avenger,Paxton,0,4.5
Captain America: The First Avenger,Peggy Carter,17.25,20.5
Captain America: The First Avenger,Pepper Potts,0,64
Captain America: The First Avenger,Peter Parker,0,84.75
Captain America: The First Avenger,Peter Quill,0,82.5
Captain America: The First Avenger,Pietro Maximoff,0,10.25
Captain America: The First Avenger,Raza,0,6
Captain America: The First Avenger,Rocket Raccoon,0,39.25
Captain America: The First Avenger,Ronan the Accuser,0,7.75
Captain America: The First Avenger,Sam Wilson,0,28
Captain America: The First Avenger,Samuel Sterns,0,7.5
Captain America: The First Avenger,Savin,0,6
Captain America: The First Avenger,Scott Lang,0,56
Captain America: The First Avenger,Sharon Carter,0,7.5
Captain America: The First Avenger,Sif,0,11.5
Captain America: The First Avenger,Skurge,0,6.75
Captain America: The First Avenger,Steve Rogers,56.5,205.25
Captain America: The First Avenger,T'Challa,0,11.5
Captain America: The First Avenger,Taserface,0,4.25
Captain America: The First Avenger,The Collector,0,3.75
Captain America: The First Avenger,Thor,0,167.25
Captain America: The First Avenger,Tinkerer,0,3.75
Captain America: The First Avenger,Tony Stark,0,306
Captain America: The First Avenger,Trevor Slattery,0,7.5
Captain America: The First Avenger,Ultron,0,16.75
Captain America: The First Avenger,Valkyrie,0,15.5
Captain America: The First Avenger,Vision,0,13.5
Captain America: The First Avenger,Volstagg,0,10.25
Captain America: The First Avenger,Wanda Maximoff,0,23
Captain America: The First Avenger,Wong,0,7
Captain America: The First Avenger,Yondu Udonta,0,22.25
Captain America: The First Avenger,Zemo,0,10.5
Captain America: The Winter Soldier,Adrian Toomes,0,19
Captain America: The Winter Soldier,Agent Phil Coulson,0,18.75
Captain America: The Winter Soldier,Aldrich Killian,0,12
Captain America: The Winter Soldier,Alexander Pierce,12.75,12.75
Captain America: The Winter Soldier,Algrim,0,6.25
Captain America: The Winter Soldier,Ancient One,0,17.25
Captain America: The Winter Soldier,Arnim Zola,2.25,10.5
Captain America: The Winter Soldier,Ayesha,0,3.5
Captain America: The Winter Soldier,Baron Mordo,0,17.75
Captain America: The Winter Soldier,Betty Ross,0,27
Captain America: The Winter Soldier,Bruce Banner,0,112.75
Captain America: The Winter Soldier,Bucky Barnes,13.25,43.5
Captain America: The Winter Soldier,Cassandra Lang,0,4.5
Captain America: The Winter Soldier,Chester Phillips,0,9.25
Captain America: The Winter Soldier,Christine Everhart,0,5.25
Captain America: The Winter Soldier,Christine Palmer,0,12.75
Captain America: The Winter Soldier,Clint Barton,0,32.5
Captain America: The Winter Soldier,Col. James Rhodes,0,46.5
Captain America: The Winter Soldier,Crossbones,6.25,8.5
Captain America: The Winter Soldier,Darcy Lewis,0,17.25
Captain America: The Winter Soldier,Darren Cross,0,14.5
Captain America: The Winter Soldier,Dr. Abraham Erskine,0,8.5
Captain America: The Winter Soldier,Dr. Helen Cho,0,3.25
Captain America: The Winter Soldier,Dr. Stephen Strange,0,76.25
Captain America: The Winter Soldier,Drax the Destroyer,0,34.5
Captain America: The Winter Soldier,Ego the Living Planet,0,17.5
Captain America: The Winter Soldier,Emil Blonsky,0,18.5
Captain America: The Winter Soldier,Erik Selvig,0,24
Captain America: The Winter Soldier,Fandral,0,9.5
Captain America: The Winter Soldier,Frigga,0,6
Captain America: The Winter Soldier,Gamora,0,55
Captain America: The Winter Soldier,Gen. Thaddeus Ross,0,17.75
Captain America: The Winter Soldier,Grandmaster,0,6
Captain America: The Winter Soldier,Groot,0,29.5
Captain America: The Winter Soldier,Hank Pym,0,24.75
Captain America: The Winter Soldier,Happy Hogan,0,17.75
Captain America: The Winter Soldier,Harley Keener,0,6.25
Captain America: The Winter Soldier,Heimdall,0,13.5
Captain America: The Winter Soldier,Hela,0,12.25
Captain America: The Winter Soldier,Ho Yinsen,0,11
Captain America: The Winter Soldier,Hogun,0,8.25
Captain America: The Winter Soldier,Hope van Dyne,0,15.75
Captain America: The Winter Soldier,Howard Stark,0,8.75
Captain America: The Winter Soldier,Ivan Vanko,0,20.75
Captain America: The Winter Soldier,Jane Foster,0,46
Captain America: The Winter Soldier,Jasper Sitwell,4,5.5
Captain America: The Winter Soldier,Johann Schmidt,0,15.5
Captain America: The Winter Soldier,Justin Hammer,0,16.5
Captain America: The Winter Soldier,Kaecilius,0,12.75
Captain America: The Winter Soldier,King Laufey,0,3.5
Captain America: The Winter Soldier,Korg,0,3.75
Captain America: The Winter Soldier,Kraglin,0,6.5
Captain America: The Winter Soldier,Laura Barton,0,3.75
Captain America: The Winter Soldier,Liz Allan,0,9.75
Captain America: The Winter Soldier,Loki,0,75.25
Captain America: The Winter Soldier,Luis,0,7
Captain America: The Winter Soldier,Malekith the Accursed,0,8.75
Captain America: The Winter Soldier,Mantis,0,11
Captain America: The Winter Soldier,Maria Hill,3.25,11.75
Captain America: The Winter Soldier,May Parker,0,5
Captain America: The Winter Soldier,Maya Hansen,0,8.75
Captain America: The Winter Soldier,Natasha Romanoff,24.75,89
Captain America: The Winter Soldier,Nebula,0,15
Captain America: The Winter Soldier,Ned Leeds,0,13.75
Captain America: The Winter Soldier,Nick Fury,15.5,43.75
Captain America: The Winter Soldier,Obadiah Stane,0,22
Captain America: The Winter Soldier,Odin,0,23.75
Captain America: The Winter Soldier,Paxton,0,4.5
Captain America: The Winter Soldier,Peggy Carter,2.25,20.5
Captain America: The Winter Soldier,Pepper Potts,0,64
Captain America: The Winter Soldier,Peter Parker,0,84.75
Captain America: The Winter Soldier,Peter Quill,0,82.5
Captain America: The Winter Soldier,Pietro Maximoff,0.25,10.25
Captain America: The Winter Soldier,Raza,0,6
Captain America: The Winter Soldier,Rocket Raccoon,0,39.25
Captain America: The Winter Soldier,Ronan the Accuser,0,7.75
Captain America: The Winter Soldier,Sam Wilson,14.25,28
Captain America: The Winter Soldier,Samuel Sterns,0,7.5
Captain America: The Winter Soldier,Savin,0,6
Captain America: The Winter Soldier,Scott Lang,0,56
Captain America: The Winter Soldier,Sharon Carter,2.5,7.5
Captain America: The Winter Soldier,Sif,0,11.5
Captain America: The Winter Soldier,Skurge,0,6.75
Captain America: The Winter Soldier,Steve Rogers,59,205.25
Captain America: The Winter Soldier,T'Challa,0,11.5
Captain America: The Winter Soldier,Taserface,0,4.25
Captain America: The Winter Soldier,The Collector,0,3.75
Captain America: The Winter Soldier,Thor,0,167.25
Captain America: The Winter Soldier,Tinkerer,0,3.75
Captain America: The Winter Soldier,Tony Stark,0,306
Captain America: The Winter Soldier,Trevor Slattery,0,7.5
Captain America: The Winter Soldier,Ultron,0,16.75
Captain America: The Winter Soldier,Valkyrie,0,15.5
Captain America: The Winter Soldier,Vision,0,13.5
Captain America: The Winter Soldier,Volstagg,0,10.25
