moviename,charactername,time,totaltime
Doctor Strange,The Collector,0,3.75
Doctor Strange,Thor,0.75,167.25
Doctor Strange,Tinkerer,0,3.75
Doctor Strange,Tony Stark,0,306
Doctor Strange,Trevor Slattery,0,7.5
Doctor Strange,Ultron,0,16.75
Doctor Strange,Valkyrie,0,15.5
Doctor Strange,Vision,0,13.5
Doctor Strange,Volstagg,0,10.25
Doctor Strange,Wanda Maximoff,0,23
Doctor Strange,Wong,7,7
Doctor Strange,Yondu Udonta,0,22.25
Doctor Strange,Zemo,0,10.5
Guardians Of The Galaxy,Adrian Toomes,0,19
Guardians Of The Galaxy,Agent Phil Coulson,0,18.75
Guardians Of The Galaxy,Aldrich Killian,0,12
Guardians Of The Galaxy,Alexander Pierce,0,12.75
Guardians Of The Galaxy,Algrim,0,6.25
Guardians Of The Galaxy,Ancient One,0,17.25
Guardians Of The Galaxy,Arnim Zola,0,10.5
Guardians Of The Galaxy,Ayesha,3.5,3.5
Guardians Of The Galaxy,Baron Mordo,0,17.75
Guardians Of The Galaxy,Betty Ross,0,27
Guardians Of The Galaxy,Bruce Banner,0,112.75
Guardians Of The Galaxy,Bucky Barnes,0,43.5
Guardians Of The Galaxy,Cassandra Lang,0,4.5
Guardians Of The Galaxy,Chester Phillips,0,9.25
Guardians Of The Galaxy,Christine Everhart,0,5.25
Guardians Of The Galaxy,Christine Palmer,0,12.75
Guardians Of The Galaxy,Clint Barton,0,32.5
Guardians Of The Galaxy,Col. James Rhodes,0,46.5
Guardians Of The Galaxy,Crossbones,0,8.5
Guardians Of The Galaxy,Darcy Lewis,0,17.25
Guardians Of The Galaxy,Darren Cross,0,14.5
Guardians Of The Galaxy,Dr. Abraham Erskine,0,8.5
Guardians Of The Galaxy,Dr. Helen Cho,0,3.25
Guardians Of The Galaxy,Dr. Stephen Strange,0,76.25
Guardians Of The Galaxy,Drax the Destroyer,18,34.5
Guardians Of The Galaxy,Ego the Living Planet,0,17.5
Guardians Of The Galaxy,Emil Blonsky,0,18.5
Guardians Of The Galaxy,Erik Selvig,0,24
Guardians Of The Galaxy,Fandral,0,9.5
Guardians Of The Galaxy,Frigga,0,6
Guardians Of The Galaxy,Gamora,31,55
Guardians Of The Galaxy,Gen. Thaddeus Ross,0,17.75
Guardians Of The Galaxy,Grandmaster,0,6
Guardians Of The Galaxy,Groot,15.5,29.5
Guardians Of The Galaxy,Hank Pym,0,24.75
Guardians Of The Galaxy,Happy Hogan,0,17.75
Guardians Of The Galaxy,Harley Keener,0,6.25
Guardians Of The Galaxy,Heimdall,0,13.5
Guardians Of The Galaxy,Hela,0,12.25
Guardians Of The Galaxy,Ho Yinsen,0,11
Guardians Of The Galaxy,Hogun,0,8.25
Guardians Of The Galaxy,Hope van Dyne,0,15.75
Guardians Of The Galaxy,Howard Stark,0,8.75
Guardians Of The Galaxy,Ivan Vanko,0,20.75
Guardians Of The Galaxy,Jane Foster,0,46
Guardians Of The Galaxy,Jasper Sitwell,0,5.5
Guardians Of The Galaxy,Johann Schmidt,0,15.5
Guardians Of The Galaxy,Justin Hammer,0,16.5
Guardians Of The Galaxy,Kaecilius,0,12.75
Guardians Of The Galaxy,King Laufey,0,3.5
Guardians Of The Galaxy,Korg,0,3.75
Guardians Of The Galaxy,Kraglin,1.75,6.5
Guardians Of The Galaxy,Laura Barton,0,3.75
Guardians Of The Galaxy,Liz Allan,0,9.75
Guardians Of The Galaxy,Loki,0,75.25
Guardians Of The Galaxy,Luis,0,7
Guardians Of The Galaxy,Malekith the Accursed,0,8.75
Guardians Of The Galaxy,Mantis,0,11
Guardians Of The Galaxy,Maria Hill,0,11.75
Guardians Of The Galaxy,May Parker,0,5
Guardians Of The Galaxy,Maya Hansen,0,8.75
Guardians Of The Galaxy,Natasha Romanoff,0,89
Guardians Of The Galaxy,Nebula,4.5,15
Guardians Of The Galaxy,Ned Leeds,0,13.75
Guardians Of The Galaxy,Nick Fury,0,43.75
Guardians Of The Galaxy,Obadiah Stane,0,22
Guardians Of The Galaxy,Odin,0,23.75
Guardians Of The Galaxy,Paxton,0,4.5
Guardians Of The Galaxy,Peggy Carter,0,20.5
Guardians Of The Galaxy,Pepper Potts,0,64
Guardians Of The Galaxy,Peter Parker,0,84.75
Guardians Of The Galaxy,Peter Quill,46.75,82.5
Guardians Of The Galaxy,Pietro Maximoff,0,10.25
Guardians Of The Galaxy,Raza,0,6
Guardians Of The Galaxy,Rocket Raccoon,19.5,39.25
Guardians Of The Galaxy,Ronan the Accuser,7.75,7.75
Guardians Of The Galaxy,Sam Wilson,0,28
Guardians Of The Galaxy,Samuel Sterns,0,7.5
Guardians Of The Galaxy,Savin,0,6
Guardians Of The Galaxy,Scott Lang,0,56
Guardians Of The Galaxy,Sharon Carter,0,7.5
Guardians Of The Galaxy,Sif,0,11.5
Guardians Of The Galaxy,Skurge,0,6.75
Guardians Of The Galaxy,Steve Rogers,0,205.25
Guardians Of The Galaxy,T'Challa,0,11.5
Guardians Of The Galaxy,Taserface,0,4.25
Guardians Of The Galaxy,The Collector,2.5,3.75
Guardians Of The Galaxy,Thor,0,167.25
Guardians Of The Galaxy,Tinkerer,0,3.75
Guardians Of The Galaxy,Tony Stark,0,306
Guardians Of The Galaxy,Trevor Slattery,0,7.5
Guardians Of The Galaxy,Ultron,0,16.75
Guardians Of The Galaxy,Valkyrie,0,15.5
Guardians Of The Galaxy,Vision,0,13.5
Guardians Of The Galaxy,Volstagg,0,10.25
Guardians Of The Galaxy,Wanda Maximoff,0,23
Guardians Of The Galaxy,Wong,0,7
Guardians Of The Galaxy,Yondu Udonta,6,22.25
Guardians Of The Galaxy,Zemo,0,10.5
Guardians Of The Galaxy Vol. 2,Adrian Toomes,0,19
Guardians Of The Galaxy Vol. 2,Agent Phil Coulson,0,18.75
Guardians Of The Galaxy Vol. 2,Aldrich Killian,0,12
Guardians Of The Galaxy Vol. 2,Alexander Pierce,0,12.75
Guardians Of The Galaxy Vol. 2,Algrim,0,6.25
Guardians Of The Galaxy Vol. 2,Ancient One,0,17.25
Guardians Of The Galaxy Vol. 2,Arnim Zola,0,10.5
Guardians Of The Galaxy Vol. 2,Ayesha,0,3.5
Guardians Of The Galaxy Vol. 2,Baron Mordo,0,17.75
Guardians Of The Galaxy Vol. 2,Betty Ross,0,27
Guardians Of The Galaxy Vol. 2,Bruce Banner,0,112.75
Guardians Of The Galaxy Vol. 2,Bucky Barnes,0,43.5
Guardians Of The Galaxy Vol. 2,Cassandra Lang,0,4.5
Guardians Of The Galaxy Vol. 2,Chester Phillips,0,9.25
Guardians Of The Galaxy Vol. 2,Christine Everhart,0,5.25
Guardians Of The Galaxy Vol. 2,Christine Palmer,0,12.75
Guardians Of The Galaxy Vol. 2,Clint Barton,0,32.5
Guardians Of The Galaxy Vol. 2,Col. James Rhodes,0,46.5
Guardians Of The Galaxy Vol. 2,Crossbones,0,8.5
Guardians Of The Galaxy Vol. 2,Darcy Lewis,0,17.25
Guardians Of The Galaxy Vol. 2,Darren Cross,0,14.5
Guardians Of The Galaxy Vol. 2,Dr. Abraham Erskine,0,8.5
Guardians Of The Galaxy Vol. 2,Dr. Helen Cho,0,3.25
Guardians Of The Galaxy Vol. 2,Dr. Stephen Strange,0,76.25
Guardians Of The Galaxy Vol. 2,Drax the Destroyer,16.5,34.5
Guardians Of The Galaxy Vol. 2,Ego the Living Planet,17.5,17.5
Guardians Of The Galaxy Vol. 2,Emil Blonsky,0,18.5
Guardians Of The Galaxy Vol. 2,Erik Selvig,0,24
Guardians Of The Galaxy Vol. 2,Fandral,0,9.5
Guardians Of The Galaxy Vol. 2,Frigga,0,6
Guardians Of The Galaxy Vol. 2,Gamora,24,55
Guardians Of The Galaxy Vol. 2,Gen. Thaddeus Ross,0,17.75
Guardians Of The Galaxy Vol. 2,Grandmaster,0,6
Guardians Of The Galaxy Vol. 2,Groot,14,29.5
Guardians Of The Galaxy Vol. 2,Hank Pym,0,24.75
Guardians Of The Galaxy Vol. 2,Happy Hogan,0,17.75
Guardians Of The Galaxy Vol. 2,Harley Keener,0,6.25
Guardians Of The Galaxy Vol. 2,Heimdall,0,13.5
Guardians Of The Galaxy Vol. 2,Hela,0,12.25
Guardians Of The Galaxy Vol. 2,Ho Yinsen,0,11
Guardians Of The Galaxy Vol. 2,Hogun,0,8.25
Guardians Of The Galaxy Vol. 2,Hope van Dyne,0,15.75
Guardians Of The Galaxy Vol. 2,Howard Stark,0,8.75
Guardians Of The Galaxy Vol. 2,Ivan Vanko,0,20.75
Guardians Of The Galaxy Vol. 2,Jane Foster,0,46
Guardians Of The Galaxy Vol. 2,Jasper Sitwell,0,5.5
Guardians Of The Galaxy Vol. 2,Johann Schmidt,0,15.5
Guardians Of The Galaxy Vol. 2,Justin Hammer,0,16.5
Guardians Of The Galaxy Vol. 2,Kaecilius,0,12.75
Guardians Of The Galaxy Vol. 2,King Laufey,0,3.5
Guardians Of The Galaxy Vol. 2,Korg,0,3.75
Guardians Of The Galaxy Vol. 2,Kraglin,4.75,6.5
Guardians Of The Galaxy Vol. 2,Laura Barton,0,3.75
Guardians Of The Galaxy Vol. 2,Liz Allan,0,9.75
Guardians Of The Galaxy Vol. 2,Loki,0,75.25
Guardians Of The Galaxy Vol. 2,Luis,0,7
Guardians Of The Galaxy Vol. 2,Malekith the Accursed,0,8.75
Guardians Of The Galaxy Vol. 2,Mantis,11,11
Guardians Of The Galaxy Vol. 2,Maria Hill,0,11.75
Guardians Of The Galaxy Vol. 2,May Parker,0,5
Guardians Of The Galaxy Vol. 2,Maya Hansen,0,8.75
Guardians Of The Galaxy Vol. 2,Natasha Romanoff,0,89
Guardians Of The Galaxy Vol. 2,Nebula,10.5,15
Guardians Of The Galaxy Vol. 2,Ned Leeds,0,13.75
Guardians Of The Galaxy Vol. 2,Nick Fury,0,43.75
Guardians Of The Galaxy Vol. 2,Obadiah Stane,0,22
Guardians Of The Galaxy Vol. 2,Odin,0,23.75
Guardians Of The Galaxy Vol. 2,Paxton,0,4.5
Guardians Of The Galaxy Vol. 2,Peggy Carter,0,20.5
Guardians Of The Galaxy Vol. 2,Pepper Potts,0,64
Guardians Of The Galaxy Vol. 2,Peter Parker,0,84.75
Guardians Of The Galaxy Vol. 2,Peter Quill,35.75,82.5
Guardians Of The Galaxy Vol. 2,Pietro Maximoff,0,10.25
Guardians Of The Galaxy Vol. 2,Raza,0,6
Guardians Of The Galaxy Vol. 2,Rocket Raccoon,19.75,39.25
Guardians Of The Galaxy Vol. 2,Ronan the Accuser,0,7.75
Guardians Of The Galaxy Vol. 2,Sam Wilson,0,28
Guardians Of The Galaxy Vol. 2,Samuel Sterns,0,7.5
Guardians Of The Galaxy Vol. 2,Savin,0,6
Guardians Of The Galaxy Vol. 2,Scott Lang,0,56
Guardians Of The Galaxy Vol. 2,Sharon Carter,0,7.5
Guardians Of The Galaxy Vol. 2,Sif,0,11.5
Guardians Of The Galaxy Vol. 2,Skurge,0,6.75
Guardians Of The Galaxy Vol. 2,Steve Rogers,0,205.25
Guardians Of The Galaxy Vol. 2,T'Challa,0,11.5
Guardians Of The Galaxy Vol. 2,Taserface,4.25,4.25
Guardians Of The Galaxy Vol. 2,The Collector,0,3.75
Guardians Of The Galaxy Vol. 2,Thor,0,167.25
Guardians Of The Galaxy Vol. 2,Tinkerer,0,3.75
Guardians Of The Galaxy Vol. 2,Tony Stark,0,306
Guardians Of The Galaxy Vol. 2,Trevor Slattery,0,7.5
Guardians Of The Galaxy Vol. 2,Ultron,0,16.75
Guardians Of The Galaxy Vol. 2,Valkyrie,0,15.5
Guardians Of The Galaxy Vol. 2,Vision,0,13.5
Guardians Of The Galaxy Vol. 2,Volstagg,0,10.25
Guardians Of The Galaxy Vol. 2,Wanda Maximoff,0,23
Guardians Of The Galaxy Vol. 2,Wong,0,7
Guardians Of The Galaxy Vol. 2,Yondu Udonta,16.25,22.25
Guardians Of The Galaxy Vol. 2,Zemo,0,10.5
Iron Man,Adrian Toomes,0,19
Iron Man,Agent Phil Coulson,3.75,18.75
Iron Man,Aldrich Killian,0,12
Iron Man,Alexander Pierce,0,12.75
Iron Man,Algrim,0,6.25
Iron Man,Ancient One,0,17.25
Iron Man,Arnim Zola,0,10.5
Iron Man,Ayesha,0,3.5
Iron Man,Baron Mordo,0,17.75
Iron Man,Betty Ross,0,27
Iron Man,Bruce Banner,0,112.75
Iron Man,Bucky Barnes,0,43.5
Iron Man,Cassandra Lang,0,4.5
Iron Man,Chester Phillips,0,9.25
Iron Man,Christine Everhart,3.75,5.25
Iron Man,Christine Palmer,0,12.75
Iron Man,Clint Barton,0,32.5
Iron Man,Col. James Rhodes,8.25,46.5
Iron Man,Crossbones,0,8.5
Iron Man,Darcy Lewis,0,17.25
Iron Man,Darren Cross,0,14.5
Iron Man,Dr. Abraham Erskine,0,8.5
Iron Man,Dr. Helen Cho,0,3.25
Iron Man,Dr. Stephen Strange,0,76.25
Iron Man,Drax the Destroyer,0,34.5
Iron Man,Ego the Living Planet,0,17.5
Iron Man,Emil Blonsky,0,18.5
Iron Man,Erik Selvig,0,24
Iron Man,Fandral,0,9.5
Iron Man,Frigga,0,6
Iron Man,Gamora,0,55
Iron Man,Gen. Thaddeus Ross,0,17.75
Iron Man,Grandmaster,0,6
Iron Man,Groot,0,29.5
Iron Man,Hank Pym,0,24.75
Iron Man,Happy Hogan,1.25,17.75
Iron Man,Harley Keener,0,6.25
Iron Man,Heimdall,0,13.5
Iron Man,Hela,0,12.25
Iron Man,Ho Yinsen,10.75,11
Iron Man,Hogun,0,8.25
Iron Man,Hope van Dyne,0,15.75
Iron Man,Howard Stark,0,8.75
Iron Man,Ivan Vanko,0,20.75
Iron Man,Jane Foster,0,46
Iron Man,Jasper Sitwell,0,5.5
Iron Man,Johann Schmidt,0,15.5
Iron Man,Justin Hammer,0,16.5
Iron Man,Kaecilius,0,12.75
Iron Man,King Laufey,0,3.5
Iron Man,Korg,0,3.75
Iron Man,Kraglin,0,6.5
Iron Man,Laura Barton,0,3.75
Iron Man,Liz Allan,0,9.75
Iron Man,Loki,0,75.25
Iron Man,Luis,0,7
Iron Man,Malekith the Accursed,0,8.75
Iron Man,Mantis,0,11
Iron Man,Maria Hill,0,11.75
Iron Man,May Parker,0,5
Iron Man,Maya Hansen,0,8.75
Iron Man,Natasha Romanoff,0,89
Iron Man,Nebula,0,15
Iron Man,Ned Leeds,0,13.75
Iron Man,Nick Fury,0.25,43.75
Iron Man,Obadiah Stane,22,22
Iron Man,Odin,0,23.75
Iron Man,Paxton,0,4.5
Iron Man,Peggy Carter,0,20.5
Iron Man,Pepper Potts,23.25,64
Iron Man,Peter Parker,0,84.75
Iron Man,Peter Quill,0,82.5
Iron Man,Pietro Maximoff,0,10.25
Iron Man,Raza,6,6
Iron Man,Rocket Raccoon,0,39.25
Iron Man,Ronan the Accuser,0,7.75
Iron Man,Sam Wilson,0,28
Iron Man,Samuel Sterns,0,7.5
Iron Man,Savin,0,6
Iron Man,Scott Lang,0,56
Iron Man,Sharon Carter,0,7.5
Iron Man,Sif,0,11.5
Iron Man,Skurge,0,6.75
Iron Man,Steve Rogers,0,205.25
Iron Man,T'Challa,0,11.5
Iron Man,Taserface,0,4.25
Iron Man,The Collector,0,3.75
Iron Man,Thor,0,167.25
Iron Man,Tinkerer,0,3.75
Iron Man,Tony Stark,77.25,306
Iron Man,Trevor Slattery,0,7.5
Iron Man,Ultron,0,16.75
Iron Man,Valkyrie,0,15.5
Iron Man,Vision,0,13.5
Iron Man,Volstagg,0,10.25
Iron Man,Wanda Maximoff,0,23
Iron Man,Wong,0,7
Iron Man,Yondu Udonta,0,22.25
Iron Man,Zemo,0,10.5
Iron Man 2,Adrian Toomes,0,19
Iron Man 2,Agent Phil Coulson,2,18.75
Iron Man 2,Aldrich Killian,0,12
Iron Man 2,Alexander Pierce,0,12.75
Iron Man 2,Algrim,0,6.25
Iron Man 2,Ancient One,0,17.25
Iron Man 2,Arnim Zola,0,10.5
Iron Man 2,Ayesha,0,3.5
Iron Man 2,Baron Mordo,0,17.75
Iron Man 2,Betty Ross,0,27
Iron Man 2,Bruce Banner,0,112.75
Iron Man 2,Bucky Barnes,0,43.5
Iron Man 2,Cassandra Lang,0,4.5
Iron Man 2,Chester Phillips,0,9.25
Iron Man 2,Christine Everhart,1.5,5.25
Iron Man 2,Christine Palmer,0,12.75
Iron Man 2,Clint Barton,0,32.5
Iron Man 2,Col. James Rhodes,18.75,46.5
Iron Man 2,Crossbones,0,8.5
Iron Man 2,Darcy Lewis,0,17.25
Iron Man 2,Darren Cross,0,14.5
Iron Man 2,Dr. Abraham Erskine,0,8.5
Iron Man 2,Dr. Helen Cho,0,3.25
Iron Man 2,Dr. Stephen Strange,0,76.25
Iron Man 2,Drax the Destroyer,0,34.5
Iron Man 2,Ego the Living Planet,0,17.5
Iron Man 2,Emil Blonsky,0,18.5
Iron Man 2,Erik Selvig,0,24
Iron Man 2,Fandral,0,9.5
Iron Man 2,Frigga,0,6
Iron Man 2,Gamora,0,55
Iron Man 2,Gen. Thaddeus Ross,0,17.75
Iron Man 2,Grandmaster,0,6
Iron Man 2,Groot,0,29.5
Iron Man 2,Hank Pym,0,24.75
Iron Man 2,Happy Hogan,4.25,17.75
Iron Man 2,Harley Keener,0,6.25
Iron Man 2,Heimdall,0,13.5
Iron Man 2,Hela,0,12.25
Iron Man 2,Ho Yinsen,0,11
Iron Man 2,Hogun,0,8.25
Iron Man 2,Hope van Dyne,0,15.75
Iron Man 2,Howard Stark,2,8.75
Iron Man 2,Ivan Vanko,20.75,20.75
Iron Man 2,Jane Foster,0,46
Iron Man 2,Jasper Sitwell,0,5.5
Iron Man 2,Johann Schmidt,0,15.5
Iron Man 2,Justin Hammer,16.5,16.5
Iron Man 2,Kaecilius,0,12.75
Iron Man 2,King Laufey,0,3.5
Iron Man 2,Korg,0,3.75
Iron Man 2,Kraglin,0,6.5
Iron Man 2,Laura Barton,0,3.75
Iron Man 2,Liz Allan,0,9.75
Iron Man 2,Loki,0,75.25
Iron Man 2,Luis,0,7
Iron Man 2,Malekith the Accursed,0,8.75
Iron Man 2,Mantis,0,11
Iron Man 2,Maria Hill,0,11.75
Iron Man 2,May Parker,0,5
Iron Man 2,Maya Hansen,0,8.75
Iron Man 2,Natasha Romanoff,9.25,89
Iron Man 2,Nebula,0,15
Iron Man 2,Ned Leeds,0,13.75
Iron Man 2,Nick Fury,5.5,43.75
Iron Man 2,Obadiah Stane,0,22
Iron Man 2,Odin,0,23.75
Iron Man 2,Paxton,0,4.5
Iron Man 2,Peggy Carter,0,20.5
Iron Man 2,Pepper Potts,17.5,64
Iron Man 2,Peter Parker,0,84.75
Iron Man 2,Peter Quill,0,82.5
Iron Man 2,Pietro Maximoff,0,10.25
Iron Man 2,Raza,0,6
Iron Man 2,Rocket Raccoon,0,39.25
Iron Man 2,Ronan the Accuser,0,7.75
Iron Man 2,Sam Wilson,0,28
Iron Man 2,Samuel Sterns,0,7.5
Iron Man 2,Savin,0,6
Iron Man 2,Scott Lang,0,56
Iron Man 2,Sharon Carter,0,7.5
Iron Man 2,Sif,0,11.5
Iron Man 2,Skurge,0,6.75
Iron Man 2,Steve Rogers,0,205.25
Iron Man 2,T'Challa,0,11.5
Iron Man 2,Taserface,0,4.25
Iron Man 2,The Collector,0,3.75
Iron Man 2,Thor,0,167.25
Iron Man 2,Tinkerer,0,3.75
Iron Man 2,Tony Stark,61.25,306
Iron Man 2,Trevor Slattery,0,7.5
Iron Man 2,Ultron,0,16.75
Iron Man 2,Valkyrie,0,15.5
Iron Man 2,Vision,0,13.5
Iron Man 2,Volstagg,0,10.25
Iron Man 2,Wanda Maximoff,0,23
Iron Man 2,Wong,0,7
Iron Man 2,Yondu Udonta,0,22.25
Iron Man 2,Zemo,0,10.5
Iron Man 3,Adrian Toomes,0,19
Iron Man 3,Agent Phil Coulson,0,18.75
Iron Man 3,Aldrich Killian,12,12
Iron Man 3,Alexander Pierce,0,12.75
Iron Man 3,Algrim,0,6.25
Iron Man 3,Ancient One,0,17.25
Iron Man 3,Arnim Zola,0,10.5
Iron Man 3,Ayesha,0,3.5
Iron Man 3,Baron Mordo,0,17.75
Iron Man 3,Betty Ross,0,27
Iron Man 3,Bruce Banner,0.75,112.75
Iron Man 3,Bucky Barnes,0,43.5
Iron Man 3,Cassandra Lang,0,4.5
Iron Man 3,Chester Phillips,0,9.25
Iron Man 3,Christine Everhart,0,5.25
Iron Man 3,Christine Palmer,0,12.75
Iron Man 3,Clint Barton,0,32.5
Iron Man 3,Col. James Rhodes,9.75,46.5
Iron Man 3,Crossbones,0,8.5
Iron Man 3,Darcy Lewis,0,17.25
Iron Man 3,Darren Cross,0,14.5
Iron Man 3,Dr. Abraham Erskine,0,8.5
Iron Man 3,Dr. Helen Cho,0,3.25
Iron Man 3,Dr. Stephen Strange,0,76.25
Iron Man 3,Drax the Destroyer,0,34.5
Iron Man 3,Ego the Living Planet,0,17.5
Iron Man 3,Emil Blonsky,0,18.5
Iron Man 3,Erik Selvig,0,24
Iron Man 3,Fandral,0,9.5
Iron Man 3,Frigga,0,6
Iron Man 3,Gamora,0,55
Iron Man 3,Gen. Thaddeus Ross,0,17.75
Iron Man 3,Grandmaster,0,6
Iron Man 3,Groot,0,29.5
Iron Man 3,Hank Pym,0,24.75
Iron Man 3,Happy Hogan,6.25,17.75
Iron Man 3,Harley Keener,6.25,6.25
Iron Man 3,Heimdall,0,13.5
Iron Man 3,Hela,0,12.25
Iron Man 3,Ho Yinsen,0.25,11
Iron Man 3,Hogun,0,8.25
Iron Man 3,Hope van Dyne,0,15.75
Iron Man 3,Howard Stark,0,8.75
Iron Man 3,Ivan Vanko,0,20.75
Iron Man 3,Jane Foster,0,46
Iron Man 3,Jasper Sitwell,0,5.5
Iron Man 3,Johann Schmidt,0,15.5
Iron Man 3,Justin Hammer,0,16.5
Iron Man 3,Kaecilius,0,12.75
Iron Man 3,King Laufey,0,3.5
Iron Man 3,Korg,0,3.75
Iron Man 3,Kraglin,0,6.5
Iron Man 3,Laura Barton,0,3.75
Iron Man 3,Liz Allan,0,9.75
Iron Man 3,Loki,0,75.25
Iron Man 3,Luis,0,7
Iron Man 3,Malekith the Accursed,0,8.75
Iron Man 3,Mantis,0,11
Iron Man 3,Maria Hill,0,11.75
Iron Man 3,May Parker,0,5
Iron Man 3,Maya Hansen,8.75,8.75
Iron Man 3,Natasha Romanoff,0,89
Iron Man 3,Nebula,0,15
Iron Man 3,Ned Leeds,0,13.75
Iron Man 3,Nick Fury,0,43.75
Iron Man 3,Obadiah Stane,0,22
Iron Man 3,Odin,0,23.75
Iron Man 3,Paxton,0,4.5
Iron Man 3,Peggy Carter,0,20.5
Iron Man 3,Pepper Potts,18,64
Iron Man 3,Peter Parker,0,84.75
Iron Man 3,Peter Quill,0,82.5
Iron Man 3,Pietro Maximoff,0,10.25
Iron Man 3,Raza,0,6
Iron Man 3,Rocket Raccoon,0,39.25
Iron Man 3,Ronan the Accuser,0,7.75
Iron Man 3,Sam Wilson,0,28
Iron Man 3,Samuel Sterns,0,7.5
Iron Man 3,Savin,6,6
Iron Man 3,Scott Lang,0,56
Iron Man 3,Sharon Carter,0,7.5
Iron Man 3,Sif,0,11.5
Iron Man 3,Skurge,0,6.75
Iron Man 3,Steve Rogers,0,205.25
Iron Man 3,T'Challa,0,11.5
Iron Man 3,Taserface,0,4.25
Iron Man 3,The Collector,0,3.75
Iron Man 3,Thor,0,167.25
Iron Man 3,Tinkerer,0,3.75
Iron Man 3,Tony Stark,62.25,306
Iron Man 3,Trevor Slattery,7.5,7.5
Iron Man 3,Ultron,0,16.75
Iron Man 3,Valkyrie,0,15.5
Iron Man 3,Vision,0,13.5
Iron Man 3,Volstagg,0,10.25
Iron Man 3,Wanda Maximoff,0,23
Iron Man 3,Wong,0,7
Iron Man 3,Yondu Udonta,0,22.25
Iron Man 3,Zemo,0,10.5
Spider-Man: Homecoming,Adrian Toomes,19,19
Spider-Man: Homecoming,Agent Phil Coulson,0,18.75
Spider-Man: Homecoming,Aldrich Killian,0,12
Spider-Man: Homecoming,Alexander Pierce,0,12.75
Spider-Man: Homecoming,Algrim,0,6.25
Spider-Man: Homecoming,Ancient One,0,17.25
Spider-Man: Homecoming,Arnim Zola,0,10.5
Spider-Man: Homecoming,Ayesha,0,3.5
Spider-Man: Homecoming,Baron Mordo,0,17.75
Spider-Man: Homecoming,Betty Ross,0,27
Spider-Man: Homecoming,Bruce Banner,0,112.75
Spider-Man: Homecoming,Bucky Barnes,0,43.5
Spider-Man: Homecoming,Cassandra Lang,0,4.5
Spider-Man: Homecoming,Chester Phillips,0,9.25
Spider-Man: Homecoming,Christine Everhart,0,5.25
Spider-Man: Homecoming,Christine Palmer,0,12.75
Spider-Man: Homecoming,Clint Barton,0,32.5
Spider-Man: Homecoming,Col. James Rhodes,0,46.5
Spider-Man: Homecoming,Crossbones,0,8.5
Spider-Man: Homecoming,Darcy Lewis,0,17.25
Spider-Man: Homecoming,Darren Cross,0,14.5
Spider-Man: Homecoming,Dr. Abraham Erskine,0,8.5
Spider-Man: Homecoming,Dr. Helen Cho,0,3.25
Spider-Man: Homecoming,Dr. Stephen Strange,0,76.25
Spider-Man: Homecoming,Drax the Destroyer,0,34.5
Spider-Man: Homecoming,Ego the Living Planet,0,17.5
Spider-Man: Homecoming,Emil Blonsky,0,18.5
Spider-Man: Homecoming,Erik Selvig,0,24
Spider-Man: Homecoming,Fandral,0,9.5
Spider-Man: Homecoming,Frigga,0,6
Spider-Man: Homecoming,Gamora,0,55
Spider-Man: Homecoming,Gen. Thaddeus Ross,0,17.75
Spider-Man: Homecoming,Grandmaster,0,6
Spider-Man: Homecoming,Groot,0,29.5
Spider-Man: Homecoming,Hank Pym,0,24.75
Spider-Man: Homecoming,Happy Hogan,6,17.75
Spider-Man: Homecoming,Harley Keener,0,6.25
Spider-Man: Homecoming,Heimdall,0,13.5
Spider-Man: Homecoming,Hela,0,12.25
Spider-Man: Homecoming,Ho Yinsen,0,11
Spider-Man: Homecoming,Hogun,0,8.25
Spider-Man: Homecoming,Hope van Dyne,0,15.75
Spider-Man: Homecoming,Howard Stark,0,8.75
Spider-Man: Homecoming,Ivan Vanko,0,20.75
Spider-Man: Homecoming,Jane Foster,0,46
Spider-Man: Homecoming,Jasper Sitwell,0,5.5
Spider-Man: Homecoming,Johann Schmidt,0,15.5
Spider-Man: Homecoming,Justin Hammer,0,16.5
Spider-Man: Homecoming,Kaecilius,0,12.75
Spider-Man: Homecoming,King Laufey,0,3.5
Spider-Man: Homecoming,Korg,0,3.75
Spider-Man: Homecoming,Kraglin,0,6.5
Spider-Man: Homecoming,Laura Barton,0,3.75
Spider-Man: Homecoming,Liz Allan,9.75,9.75
Spider-Man: Homecoming,Loki,0,75.25
Spider-Man: Homecoming,Luis,0,7
Spider-Man: Homecoming,Malekith the Accursed,0,8.75
Spider-Man: Homecoming,Mantis,0,11
Spider-Man: Homecoming,Maria Hill,0,11.75
Spider-Man: Homecoming,May Parker,4,5
Spider-Man: Homecoming,Maya Hansen,0,8.75
Spider-Man: Homecoming,Natasha Romanoff,0,89
Spider-Man: Homecoming,Nebula,0,15
Spider-Man: Homecoming,Ned Leeds,13.75,13.75
Spider-Man: Homecoming,Nick Fury,0,43.75
Spider-Man: Homecoming,Obadiah Stane,0,22
Spider-Man: Homecoming,Odin,0,23.75
Spider-Man: Homecoming,Paxton,0,4.5
Spider-Man: Homecoming,Peggy Carter,0,20.5
Spider-Man: Homecoming,Pepper Potts,0.75,64
Spider-Man: Homecoming,Peter Parker,76.25,84.75
Spider-Man: Homecoming,Peter Quill,0,82.5
Spider-Man: Homecoming,Pietro Maximoff,0,10.25
Spider-Man: Homecoming,Raza,0,6
